data,velmed
2021-06-01,15
2021-06-02,15
2021-06-03,16
2021-06-04,15
2021-06-05,14
2021-06-06,16
2021-06-07,14
2021-06-08,17
2021-06-09,17
2021-06-10,15
2021-06-11,16
2021-06-12,14
2021-06-13,17
2021-06-14,14
2021-06-15,15
2021-06-16,15
2021-06-17,15
2021-06-18,14
2021-06-19,15
2021-06-20,15
2021-06-21,16
2021-06-22,16
2021-06-23,16
2021-06-24,16
2021-06-25,18
2021-06-26,14
2021-06-27,16
2021-06-28,16
2021-06-29,16
2021-06-30,14
2021-07-01,15
2021-07-02,15
2021-07-03,13
2021-07-04,15
2021-07-05,15
2021-07-06,16
2021-07-07,16
2021-07-08,16
2021-07-09,16
2021-07-10,16
2021-07-11,19
2021-07-12,15
2021-07-13,17
2021-07-14,16
2021-07-15,16
2021-07-16,16
2021-07-17,18
2021-07-18,16
2021-07-19,16
2021-07-20,16
2021-07-21,17
2021-07-22,19
2021-07-23,17
2021-07-24,18
2021-07-25,20
2021-07-26,17
2021-07-27,18
2021-07-28,15
2021-07-29,15
2021-07-30,16
2021-07-31,13
2021-08-01,20
2021-08-02,14
2021-08-03,15
2021-08-04,15
2021-08-05,18
2021-08-06,16
2021-08-07,13
2021-08-08,18
2021-08-09,16
2021-08-10,16
2021-08-11,16
2021-08-12,15
2021-08-13,15
2021-08-14,19
2021-08-15,17
2021-08-16,17
2021-08-17,17
2021-08-18,17
2021-08-19,17
2021-08-20,16
2021-08-21,16
2021-08-22,20
2021-08-23,18
2021-08-24,20
2021-08-25,18
2021-08-26,18
2021-08-27,15
2021-08-28,14
2021-08-29,18
2021-08-30,17
2021-08-31,16
2021-09-01,16
2021-09-02,16
2021-09-03,15
2021-09-04,17
2021-09-05,18
2021-09-06,18
2021-09-07,13
2021-09-08,13
2021-09-09,13
2021-09-10,15
2021-09-11,15
2021-09-12,18
2021-09-13,15
2021-09-14,16
2021-09-15,18
2021-09-16,16
2021-09-17,17
2021-09-18,14
2021-09-19,17
2021-09-20,15
2021-09-21,17
2021-09-22,15
2021-09-23,15
2021-09-24,16
2021-09-25,15
2021-09-26,18
2021-09-27,15
2021-09-28,19
2021-09-29,16
2021-09-30,16
2021-10-01,17
2021-10-02,14
2021-10-03,14
2021-10-04,15
2021-10-05,16
2021-10-06,19
2021-10-07,18
2021-10-08,17
2021-10-09,18
2021-10-10,16
2021-10-11,18
2021-10-12,18
2021-10-13,18
2021-10-14,19
2021-10-15,17
2021-10-16,15
2021-10-17,17
2021-10-18,16
2021-10-19,16
2021-10-20,17
2021-10-21,16
2021-10-22,18
2021-10-23,17
2021-10-24,15
2021-10-25,17
2021-10-26,19
2021-10-27,17
2021-10-28,19
2021-10-29,17
2021-10-30,18
2021-10-31,16
2021-11-01,19
2021-11-02,17
2021-11-03,17
2021-11-04,18
2021-11-05,17
2021-11-06,16
2021-11-07,20
2021-11-08,14
2021-11-09,13
2021-11-10,15
2021-11-11,17
2021-11-12,14
2021-11-13,15
2021-11-14,13
2021-11-15,19
2021-11-16,16
2021-11-17,15
2021-11-18,15
2021-11-19,16
2021-11-20,13
2021-11-21,14
2021-11-22,16
2021-11-23,15
2021-11-24,16
2021-11-25,16
2021-11-26,16
2021-11-27,14
2021-11-28,15
2021-11-29,15
2021-11-30,15
2021-12-01,17
2021-12-02,17
2021-12-03,16
2021-12-04,14
2021-12-05,15
2021-12-06,16
2021-12-07,15
2021-12-08,18
2021-12-09,20
2021-12-10,17
2021-12-11,15
2021-12-12,19
2021-12-13,18
2021-12-14,17
2021-12-15,18
2021-12-16,17
2021-12-17,16
2021-12-18,16
2021-12-19,19
2021-12-20,17
2021-12-21,17
2021-12-22,19
2021-12-23,18
2021-12-24,14
2021-12-25,12
2021-12-26,23
2021-12-27,20
2021-12-28,19
2021-12-29,17
2021-12-30,18
2021-12-31,17
